spotify_song_id,year,artists,song_title,release_date,duration_ms,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
6catF1lDhNTjjGa2GxRQNN,2008,Gerry & The Pacemakers,You'll Never Walk Alone - Mono; 2002 Remaster,2008-02-11,160187,0.394,0.484,0.265,0,0.0,0,0.149,-11.101,1,55,0.0322,113.564,0.285
4aSw1QJIMwYSoDEgzgdCJL,2008,Gerry & The Pacemakers,Ferry Cross the Mersey - Mono; 2002 Remaster,2008-02-11,141987,0.255,0.405,0.365,0,4.68e-06,6,0.163,-10.226,0,39,0.0289,104.536,0.588
0ZMMtH875IR2TfkyC4PolD,2008,Gerry & The Pacemakers,Don't Let the Sun Catch You Crying (Main) - Mono,2008-02-11,157093,0.406,0.477,0.35200000000000004,0,0.0,1,0.122,-14.165,1,34,0.03,106.773,0.478
1hx7X9cMXHWJjknb9O6Ava,2018,Frank Sinatra,"The September Of My Years - Live At The Sands Hotel And Casino, Las Vegas/1966 / Show 2",2018-05-04,187333,0.887,0.319,0.201,0,0.0,7,0.904,-17.796,1,27,0.0623,117.153,0.239
19oquvXf3bc65GSqtPYA5S,2018,Frank Sinatra,"It Was A Very Good Year - Live At The Sands Hotel And Casino, Las Vegas/1966 / Show 2",2018-05-04,236800,0.938,0.269,0.129,0,4.87e-06,7,0.6829999999999999,-18.168,0,26,0.0576,82.33200000000002,0.16
7LfvdUcwrrMKVh8WPGXnbA,2008,Gerry & The Pacemakers,How Do You Do It? - Mono,2008-02-11,114987,0.36,0.617,0.711,0,1.59e-06,9,0.0841,-6.433,1,30,0.0297,142.266,0.963
4LDaBsMVANIqGcD4rOjaUT,2008,Gerry & The Pacemakers,Don't Let the Sun Catch You Crying - 2008 Remaster,2008-02-11,158800,0.764,0.459,0.344,0,0.000594,1,0.111,-12.205,1,25,0.0301,106.479,0.487
25qyOLQyX7bsceW3UL55BW,2008,Gerry & The Pacemakers,Hello Little Girl,2008-02-11,115240,0.28800000000000003,0.409,0.639,0,0.0,6,0.343,-7.627999999999999,1,30,0.0302,145.903,0.928
1hangrBJi1Tshxcm7r5Tgt,2008,Gerry & The Pacemakers,I'll Be There - First Version,2008-02-11,197560,0.696,0.609,0.29,0,2.7399999999999995e-05,7,0.108,-11.226,1,29,0.0342,122.434,0.487
1dZ8WUAsipdyBLUQklxhT5,2008,Gerry & The Pacemakers,Ferry Cross the Mersey - Stereo; 2002 Remaster,2008-02-11,144200,0.5,0.399,0.29600000000000004,0,0.0,6,0.0719,-12.364,0,25,0.0294,107.098,0.6579999999999999
43dsJbDZVe8NzBOrtHqLRz,2008,Charles Lloyd,Forest Flower - Sunrise - Live@Monterey,2008-08-25,450400,0.727,0.374,0.408,0,0.85,5,0.138,-17.825,0,18,0.0569,150.358,0.517
3J46tDUbPxjGlfudGIaRrX,2008,Gerry & The Pacemakers,It's Gonna Be Alright - Mono; 2002 Remaster,2008-02-11,145640,0.0933,0.4270000000000001,0.8220000000000001,0,0.0,9,0.104,-6.199,1,24,0.0416,99.082,0.8809999999999999
5YEh5Ym2atMqWkDtODaQSc,2008,Gerry & The Pacemakers,Don't Ever Stray,2008-02-11,111613,0.318,0.468,0.5379999999999999,0,0.0,5,0.316,-8.666,1,26,0.0325,170.588,0.909
2JfAqeGWP3cEDOLosccf7R,2008,Gerry & The Pacemakers,Girl on a Swing - 2008 Remaster,2008-02-11,127533,0.7020000000000001,0.465,0.443,0,0.0,7,0.156,-11.158,1,19,0.0278,108.678,0.59
3j60Gwb3quixJNGZgRWZ3a,2008,Gerry & The Pacemakers,The End of the Rainbow - Stereo; 2008 Remaster,2008-02-11,134173,0.773,0.6,0.374,0,0.000169,2,0.112,-14.046,1,27,0.0264,95.023,0.556
0OOcuf05UoSoCUg3uFMN70,2018,The Seekers,The Carnival Is Over (Mono),2018-12-28,188360,0.383,0.388,0.617,0,0.0,2,0.126,-4.614,1,9,0.0288,76.03699999999998,0.674
7HMeul83qsxs8oK1Q5vRaG,2008,Gerry & The Pacemakers,I Like It (Main),2008-02-11,135867,0.33,0.55,0.552,0,0.0,7,0.0907,-10.334,1,24,0.0344,147.715,0.964
1pM3T6DStefJPIdSBGDAon,2008,Gerry & The Pacemakers,Chills - 2002 Remaster,2008-02-11,119667,0.211,0.504,0.65,0,0.0,7,0.341,-6.601,1,24,0.0294,126.522,0.962
4oPhHSxjKYyKTOakjLrwEa,2008,Gerry & The Pacemakers,See You in September - Mono; 2008 Remaster,2008-02-11,145760,0.607,0.5479999999999999,0.614,0,0.00012,11,0.119,-9.183,0,13,0.0357,130.457,0.66
4xgiFXUbqLpjFk9e3dUEMA,2012,Ennio Morricone,"Ecstasy of Gold - From ""The Good, the Bad and the Ugly"", 1966",2012-09-05,220653,0.7170000000000001,0.172,0.6459999999999999,0,0.933,9,0.6809999999999999,-8.897,0,13,0.16899999999999998,99.187,0.124
77Tkkebv42FGHxl1PHC1GO,2011,Jefferson Airplane,Come Up The Years - Live 10.15.1966 Late Show - Signe's Farewell,2011-01-28,167640,0.845,0.307,0.36,0,1.06e-05,9,0.226,-10.278,1,11,0.0403,180.792,0.236
5jipiRKelnl22t73ZFif4q,2008,Gerry & The Pacemakers,Strangers in the Night - Stereo; 2008 Remaster,2008-02-11,116547,0.675,0.3670000000000001,0.569,0,0.0,9,0.305,-13.067,1,22,0.0392,96.694,0.843
2a08av9WcHvlP5QgsnBOSN,2008,Gerry & The Pacemakers,Who Can I Turn To - Stereo; 2008 Remaster,2008-02-11,114920,0.87,0.386,0.447,0,0.00021,2,0.361,-12.218,1,11,0.034,99.261,0.348
2ObbCDT3lb7EYYMaCfBd2K,2008,Gerry & The Pacemakers,Hallelujah I Love Her So - Stereo; 2008 Remaster,2008-02-11,167373,0.7,0.638,0.523,0,0.0,7,0.22,-11.335,1,20,0.058,131.501,0.8190000000000001
5eERsdgsHvm5FDqfCDkSm2,2008,Gerry & The Pacemakers,How Do You Do It - Recorded Live at Oakland Auditorium,2008-02-11,107573,0.151,0.537,0.5670000000000001,0,0.0,9,0.314,-9.567,1,19,0.039,76.058,0.8340000000000001
4wCFJbiQufVK5r1Rt1LPd9,2008,Gerry & The Pacemakers,It's All Right - 2002 Remaster,2008-02-11,123373,0.327,0.521,0.792,0,0.0,4,0.302,-6.655,1,16,0.0306,140.636,0.957
